Artist,Born,Died,Movement(s),Descriptors,Sex,Nationality
Aaron Douglas,1899,1979,Harlem Renaissance,Painter,Male,American
"Abbott H. Thayer, Abbott Handerson Thayer",1849,1921,,Painter,Male,American
Abestenia Saint Leger Eberle,,,,,,
Abraham David Christian,1952,,Contemporary Art,,Male,
Ad Reinhardt,1913,1967,"Modern Art, Abstract Expressionism",Painter,Male,American
Adelaide Alsop Robineau,1865,1929,,"Painter, Potter, Ceramicist",Female,American
Adolph Alexander Weinman,1870,1952,,Sculptor,Male,American
Adolph Gottlieb,1903,1974,"Modern Art, Abstract Expressionism","Painter, Sculptor",Male,American
"Adolph Ulrich Wertmuller, Adolph Ulrik Wertmuller",1751,1811,,Painter,Male,"Swedish, American"
Adrian Ghenie,1977,,Contemporary Art,Painter,Male,
Adrian Piper,1948,,Contemporary Art,Conceptual Art,Female,
Agnes Martin,1912,2004,"Modern Art, Abstract Expressionism",Painter,Female,American
Ai Weiwei,1957,,Contemporary Art,"Conceptual Art, Installation Art",Male,
Al Held,1928,2005,Contemporary Art,Painter,Male,
Albert Bierstadt,1830,1902,"Landscape Painting, Hudson River School",Painter,Male,American
Albert E. Harnisch,,,,,Male,American
Albert Kotin,1907,1980,"Modern Art, Abstract Expressionism",Painter,Male,American
Albert Laessle,1877,1954,,Sculptor,Male,American
Albert Oehlen,1954,,Contemporary Art,Painter,Male,
Albert Pinkham Ryder,1847,1917,"Modern Art, Tonalism",Painter,Male,American
Albertis del Orient Browere,,,,,Male,American
Alberto Burri,1915,1995,"Modern Art, Arte Povera","Painter, Sculptor",Male,Italian
Alberto Giacometti,1901,1966,"Modern Art, Surrealism, Expressionism, Cubism, Formalism","Sculptor, Painter",Male,Swiss
Aleksandra Ekster,1882,1949,"Modern Art, Futurism, Cubism, Constructivism","Painter, Stage Designer",Female,Russian
Alen Floricic,1968,,Modern Art,Installation Art,Male,Croatian
Alessandro Raho,1971,,Contemporary Art,"Painter, Photographer",Male,
Alex Katz,1927,,Modern Art,"Painter, Printmaker, Sculptor",Male,American
Alexander Archipenko,1887,1964,"Modern Art, Cubism",Sculptor,Male,American
Alexander Bogomazov,1880,1930,"Modern Art, Cubism, Futurism, Spectralism",Painter,Male,Ukrainian
Alexander Calder,1898,1976,"Modern Art, Kinetic Art, Surrealism",Sculptor,Male,American
Alexander H. Wyant,1836,1892,Tonalism,Painter,Male,American
Alexander Harrison,1853,1930,Marine Painting,Painter,Male,American
Alexander Liberman,1912,1999,Modern Art,"Painter, Photographer, Sculptor",Male,"Russian, American"
Alexander Ney,1939,,Modern Art,"Sculptor, Mixed Media, Painter",Male,Russian
Alexander Phimister Proctor,1860,1950,,"Painter, Sculptor",Male,American
Alexander Pope,,,,,Male,American
"Alexander Rodchenko, Alexandr Rodchenko, Aleksandr Rodchenko",1891,1956,"Modern Art, Constructivism","Painter, Photographer",Male,Russian
Alexander Stirling Calder,1870,1945,,Sculptor,Male,American
Alexandre Bigot,1862,1927,Art Nouveau,Ceramicist,Male,French
Alfons Mucha,1860,1939,"Modern Art, Art Nouveau","Painter, Illustrator",Male,Czech
Alfred David Lenz,,,,,Male,American
Alfred Freddy,1971,,Contemporary Art,Painter,Male,
Alfred Leslie,1927,,Modern Art,"Painter, Filmmaker",Male,American
Alfred Q. Collings,,,,,Male,American
Alfred Stieglitz,1864,1946,,Photographer,Male,American
Alfredo Jaar,1956,,Contemporary Art,Conceptual Art,Male,
Alice Aycock,1946,,Modern Art,"Sculptor, Installation Art",Female,American
Alice Beckington,1868,1942,,Painter,Female,American
Alice Neel,1900,1984,Modern Art,Painter,Female,American
Alighiero Boetti,1940,1994,"Modern Art, Arte Povera",Conceptual Art,Male,Italian
Alina Szapocznikow,1926,1973,Modern Art,Sculptor,Female,Polish
Alison Wilding,1948,,Contemporary Art,Sculptor,Female,
Allan Kaprow,1927,2006,Contemporary Art,"Painter, Performance Art",Male,
Allan McCollum,1944,,Contemporary Art,"Sculptor, Installation Art",Male,
Allen B. Talcott,,,,,Male,American
Allen Ruppersberg,1944,,Contemporary Art,"Conceptual Art, Mixed Media, Installation Art",Male,
"Alma Thomas, Alma Woodsey Thomas",1891,1978,"Modern Art, Expressionism",Painter,Female,American
Alphonse Jongers,,,,,Male,American
Alton Tobey,1914,2005,Modern Art,"Painter, Muralist",Male,American
Alvar Aalto,1898,1976,,"Designer, Architect, Sculptor, Painter",Male,Finnish
Amedeo Modigliani,1884,1920,Modern Art,"Painter, Sculptor",Male,Italian
Ames Van Wart,,,,,,American
Ammi Phillips,1788,1865,,Painter,Male,American
Amory Coffin Simons,,,,,,American
Amy Sillman,1966,,Contemporary Art,Painter,Female,
Ana Mendieta,1948,1985,Modern Art,"Performance Art, Sculptor, Painter, Video Art",Female,"Cuban, American"
Andre Derain,1880,1954,"Modern Art, Fauvism","Painter, Sculptor",Male,French
Andre Masson,1896,1987,"Modern Art, Surrealism",Painter,Male,French
Andrea Fraser,1965,,Contemporary Art,Performance Art,Female,
Andrea Zittel,1965,,Contemporary Art,Installation Art,Female,
Andreas Gursky,1955,,Contemporary Art,Photographer,Male,
Andreas Heusser,1976,,Contemporary Art,Conceptual Art,Male,
Andrew O'Connor,,,,,Male,American
Andrew Wyeth,1917,2009,"Modern Art, Regionalism",Painter,Male,American
Andy Goldsworthy,1956,,Contemporary Art,"Sculptor, Photographer",Male,
Andy Warhol,1928,1987,"Modern Art, Pop Art","Printmaker, Painter, Filmmaker, Photographer",Male,American
Angela Bulloch,1966,,Contemporary Art,Installation Art,Female,
Angela Conner,,,,,Female,
Angus Fairhurst,1966,2008,Contemporary Art,Installation Art,Male,
An’bal Villacis,1927,2012,Modern Art,Painter,Male,Ecuadorian
Anish Kapoor,1954,,Contemporary Art,Sculptor,Male,
"Anna Claypool Peale, Anna Claypoole Peale",1791,1878,,Painter,Female,American
Anna Hyatt Huntington,1876,1973,,Sculptor,Female,American
"Anna Klumpke, Anna Elizabeth Klumpke",1856,1942,Genre Painting,Painter,Female,American
"Anna Mary Robertson Moses, Grandma Moses",1860,1961,,"Painting, Embroidery",Female,American
Anne Chu,1959,2016,Contemporary Art,Installation Art,Female,American
Anni Albers,1899,1994,"Modern Art, Minimalism","Textile Artist, Printmaker",Female,"German, American"
Annie Traquair Lang,1885,1918,,Painter,Female,American
Anri Sala,1974,,Contemporary Art,Video Art,Male,
Anselm Kiefer,1945,,Contemporary Art,Painter,Male,
Anson Dickinson,1779,1852,,Painter,Male,American
Anthony Caro,1924,2013,Contemporary Art,Sculptor,Male,
Anthony Smith,1984,,Contemporary Art,Sculptor,Male,
Antoni Muntadas,1942,,Contemporary Art,"Installation Art, New Media Art",Male,
Antoni Tapies,1923,2012,"Modern Art, Art Informel","Painter, Sculptor",Male,Spanish
Antonio Caro,1950,,Contemporary Art,"Painter, Conceptual Art",Male,
Antony Gormley,1950,,Contemporary Art,Sculptor,Male,
Anya Gallaccio,1963,,Contemporary Art,Installation Art,Female,
Archibald Knox,1864,1933,"Art Nouveau, Modern Art","Jeweler, Designer",Male,Scottish
Aristide Maillol,1861,1944,Modern Art,"Sculptor, Printmaker",Male,French
Arman,1928,2005,"Contemporary Art, Modern Art, Nouveau Realisme",Sculptor,Male,American
Arnold Eagle,1909,1992,,Photographer,Male,"Hungarian, American"
Arnulf Rainer,1929,,Contemporary Art,Painter,Male,
Arshile Gorky,1904,1948,"Modern Art, Abstract Expressionism, Surrealism",Painter,Male,"Armenian, American"
"Arthur B. Davies, Arthur Bowen Davies",1862,1928,Ashcan School,"Painter, Printmaker",Male,American
Arthur Clifton Goodwin,,,,,Male,American
Arthur Fitzwilliam Tait,1819,1905,Wildlife,Painter,Male,American
"Arthur Frank Mathews, Arthur F. Mathews",1860,1945,Tonalism,Painter,Male,American
Arthur Kopcke,1928,1977,"Modern Art, Fluxus","Painter, Collagist",Male,German
Arthur Lee,1881,1961,,Sculptor,Male,American
Arthur Putman,1873,1930,,Sculptor,Male,American
Arthur Thrall,1926,,Contemporary Art,"Printmaker, Painter",Male,
Arthyr Aykanian,1923,,,Industrial Designer,Male,"Armenian, American"
Artur Barrio,1945,,Contemporary Art,Interactive Art,Male,
Asger Jorn,1914,1973,"Modern Art, Cobra","Painter, Sculptor",Male,Danish
Asher Brown Durand,1796,1886,"Hudson River School, Landscape Painting",Painter,Male,American
Ashley Bickerton,1959,,Contemporary Art,Mixed Media,Female,
Atsuko Tanaka,1932,2005,Modern Art,"Painter, Sculptor, Installation Art, Performance Art",Female,Japanese
Attilio Piccirilli,1866,1945,,Sculptor,Male,
August Macke,1887,1914,"Modern Art, Expressionism",Painter,Male,German
August Sander,1876,1964,,Photographer,Male,German
Auguste Delaherche,,,,,Male,
Auguste Rodin,1840,1917,Modern Art,Sculptor,Male,French
Auguste Salzmann,1824,1872,,Photographer,Male,French
Augustus John,1878,1961,"Modern Art, Post-Impressionism",Painter,Male,Welsh
Augustus Saint-Gaudens,1848,1907,Beaux-Arts,Sculptor,Male,American
Augustus Vincent Tack,1870,1949,,"Painter, Muralist",Male,American
Austin Osman Spare,1886,1956,"Modern Art, Symbolism",Painter,Male,British
Balcomb Greene,1904,1990,"Modern Art, Abstract Expressionism",Painter,Male,American
Balthus,1908,2001,Modern Art,Painter,Male,"Polish, French"
Banksy,1974,,Contemporary Art,Graffiti,,
Barbara Hepworth,1903,1975,Modern Art,Sculptor,Female,British
Barbara Kruger,1949,,Contemporary Art,Photographer,Female,
Barnett Newman,1905,1970,"Modern Art, Abstract Expressionism, Color Field Painting",Painter,Male,American
Bas Jan Ader,1942,1979,Contemporary Art,Conceptual Art,Male,
Ben Enwonwu,1917,1994,Contemporary Art,"Painter, Sculptor",Male,
Ben Shahn,1898,1969,"Modern Art, Social Realism","Painter, Illustrator, Photographer",Male,American
Benjamin Trott,,,,,Male,American
Benjamin West,1738,1820,Historical Painting,Painter,Male,American
Berenice Abbott,1898,1991,,Photographer,Female ,American
Bernard Leach,1887,1979,,Potter,Male,British
Bernd Becher,1931,2007,,"Photographer, Conceptual Art",Male,German
Bessie Potter Vonnoh,1872,1955,,Sculptor,Female,American
Betye Saar,1926,,,Assemblage,Female,American
Bill Brandt,1904,1983,,Photographer,Male,British
